PaperID,Model-Focused Only,Tool/Platform-Focused,Real-World Case Study or Application,Mentions Human/User Factors,Primary Focus on Cost Estimation
427,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
428,Yes || Develops a simple model to analyze risk factors affecting conceptual cost estimate accuracy.,No || Not mentioned or unclear.,Yes || Uses questionnaire data from construction experts in the Middle East to validate findings.,Yes || Discusses stakeholders' perception and includes surveys with construction experts about cost estimation practices.,Yes
429,Yes || Develops a game-theoretic bidding model and simulation for multistage bidding scenarios.,No || Not mentioned or unclear.,Yes || Uses data from 2235 US public infrastructure projects to test the simulation model.,No || Not mentioned or unclear.,No
430,Yes || Uses ordinary least squares and generalised linear model regression analyses for cost prediction and analysis.,No || Not mentioned or unclear.,Yes || Uses databases containing 1520 catalogue houses with market data from Czech Republic construction industry.,No || Not mentioned or unclear.,Yes
431,No || The paper focuses on structural design optimization and material comparison rather than proposing AI/ML models.,No || ETABS is mentioned for structural analysis but not as a cost estimation tool or platform.,No || The study appears theoretical with design comparisons but no actual project implementation mentioned.,No || Not mentioned or unclear.,Yes || The paper centers on cost modeling and economical design with detailed cost estimation and comparison between steel and concrete structures.
432,No || The paper uses principal component analysis and regression for factor identification rather than proposing AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || Uses questionnaire data from 118 samples and analyzes real factors affecting construction cost estimation.,Yes || Discusses organizational behavior factors and their impact on estimation quality through questionnaire survey.,Yes
433,Yes || Develops a fuzzy logic mathematical model to quantify design complexity with regression analysis validation.,No || Not mentioned or unclear.,Yes || Validated with a traditional rear drive unit in the automotive industry and uses regression analysis with real data.,No || Not mentioned or unclear.,No || Primary focus is on design complexity assessment with cost estimation as a secondary consideration.
434,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Study was carried out at Amity University campus with specific building implementations and cost calculations.,No || Not mentioned or unclear.,No
435,Yes || Uses Random Forest algorithm to identify and rank influencing factors affecting grid technological renovation project costs.,No || Not mentioned or unclear.,Yes || Applied to grid company technological renovation projects with real project data analysis.,No || Not mentioned or unclear.,Yes
436,Yes || Proposes and compares XGBOOST DNN and RF machine learning algorithms for green building cost prediction with accuracy evaluation metrics.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
437,No || Proposes a methodology based on professional experience and database rather than AI/ML models.,No || Not mentioned or unclear.,Yes || Based on authors' professional experience and significant database of built facilities with benchmarking exercise.,No || Not mentioned or unclear.,Yes
438,Yes || Proposes an ANN model for time and cost optimization with focus on algorithmic weight optimization.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
439,Yes || Proposes methods for predicting fuel consumption and effective power using hydrodynamic similarity criteria and hull-propellers-engine complex models.,No || Not mentioned or unclear.,Yes || Presents results of comparative calculations for predicting fuel consumption of new ships and shows their accuracy.,No || Not mentioned or unclear.,Yes
440,Yes || Proposes a hybrid ICA-ANN model with DEA-AHP algorithms for TBM penetration rate prediction with simulation results and performance metrics.,No || Not mentioned or unclear.,Yes || Applied on a database of 430 data points collected from the actual Lot 2 of Zagros tunnel project.,No || Not mentioned or unclear.,Yes
441,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Conducted field surveys with 45 questionnaires in Al-Najaf province construction projects.,Yes || Discusses owner capacity in cost estimation and contractor experience as factors affecting change orders.,No || Focuses on change orders causes rather than cost estimation methods.
442,Yes || Proposes a Multi-Layer Perceptron (MLP) model for room type classification with accuracy results.,No || Not mentioned or unclear.,Yes || Tested on 1586 residential room samples from 165 building layout plans with actual data.,No || Not mentioned or unclear.,No
443,No || The paper uses lifecycle cost analysis (LCCA) as a methodology but does not propose or test AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || Conducted a building case study with multiple scenarios to assess different construction systems including cost estimation results.,No || Not mentioned or unclear.,Yes
444,Yes || Proposes a multi-objective genetic algorithm combined with fuzzy mathematics and exponential smoothing for cost estimation.,No || Not mentioned or unclear.,Yes || Uses characteristic vectors of completed transmission line projects to establish membership functions and validate the approach.,No || Not mentioned or unclear.,Yes
445,Yes || Proposes machine learning algorithms with invariant signatures for BIM object classification achieving 99.6% F1-measure.,No || Not mentioned or unclear.,Yes || Tested on student apartment complex with comparative experiment using commercial software and real quantity takeoff.,No || Not mentioned or unclear.,No
446,No || The paper focuses on structural analysis and design comparison rather than proposing AI/ML models for cost prediction.,Yes || Describes and compares Revit and ETABS software platforms for building design and analysis with cost estimation capabilities.,No || Uses a theoretical G+10 structure case but no real construction project implementation or actual cost data validation.,No || Not mentioned or unclear.,No || Primary focus is on structural design and analysis comparison between software platforms with cost estimation as a secondary consideration.
447,Yes || Develops empirical performance prediction models using rock properties and operational parameters.,No || Not mentioned or unclear.,Yes || Uses field performance data collected from different raise excavation projects in Turkey.,No || Not mentioned or unclear.,No
448,Yes || Proposes Universal Generating Function method as an alternative to Monte Carlo simulation for cost estimation with mathematical modeling approach.,No || Not mentioned or unclear.,Yes || Tested on sample projects and compared with Monte Carlo simulation showing 5×10^5 times faster performance.,No || Not mentioned or unclear.,Yes
449,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Includes alkali-activated concretes developed for application in Australia currently subject to long term site performance studies.,No || Not mentioned or unclear.,No
450,Yes || Proposes PSO and BPNN nonlinear methods to establish an intelligent estimation model for overseas railway investment.,No || Not mentioned or unclear.,Yes || Includes empirical research with model error controlled within 6.44% and mentions application to subway and high-speed railway projects.,No || Not mentioned or unclear.,Yes
451,Yes || Proposes a simulation-based deep learning approach for cost prediction with emphasis on algorithmic improvements and data-driven estimation.,No || Not mentioned or unclear.,Yes || Applied to aged-housing renovation projects in Korea with comparison to actual costs and mentions construction experts' current practices.,Yes || References construction experts using intuition for cost prediction and mentions stakeholder decision-making processes.,Yes
452,No || Not mentioned or unclear.,Yes || Describes BIM/Revit software tools for cost estimation and quantity calculation.,Yes || Includes case study comparing BIM vs manual cost estimation and references actual Indian construction project data.,No || Not mentioned or unclear.,Yes
453,No || The paper uses existing simulation software for analysis rather than proposing new AI/ML models.,Yes || Describes use of GPS-X and CapdetWorks software platforms for performance simulation and cost estimation.,Yes || Compares three wastewater treatment technologies with actual cost calculations and compliance with Egyptian environmental regulations.,No || Not mentioned or unclear.,Yes
454,No || The paper presents a cost estimating methodology but focuses on nuclear plant cost analysis rather than proposing AI/ML models.,No || Not mentioned or unclear.,Yes || Uses detailed bottom-up approach with over 200 structures systems and components and compares actual nuclear reactor designs.,Yes || Mentions experienced vs inexperienced vendor and workforce impact on costs.,Yes
455,Yes || Proposes a novel hybrid transfer learning framework (TRLS-SVR) for dynamic cutterhead torque prediction with algorithmic improvements.,No || Not mentioned or unclear.,Yes || Utilizes in situ TBM operation data from an actual tunnel project located in China.,No || Not mentioned or unclear.,No
456,No || Focuses on 3D model generation framework rather than AI/ML cost prediction models.,Yes || Describes a framework for processing 2D bridge drawings into 3D BIM models and IFC files for computational tasks.,Yes || Compares developed framework against state-of-the-art methods with experimental results and time efficiency metrics.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as an example application but the primary focus is on 3D documentation framework.
457,Yes || Develops and compares multiple NLP models (HMM CRF Bi-LSTM) for automated information extraction with F1 score evaluations.,No || Not mentioned or unclear.,Yes || Evaluates models using RSMeans database cost items as real construction data.,No || Not mentioned or unclear.,Yes
458,Yes || Proposes machine learning-integrated algorithms for automatic cost estimation of building elements.,Yes || Describes development of an informatics framework integrating cost estimation standards with BIM and MATLAB engine implementation.,No || Mentions prototype development but no actual implementation or testing with real projects is described.,No || Not mentioned or unclear.,Yes
459,Yes || Proposes an ANN model based on neuro-evolution mechanism for software cost estimation with performance analysis.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
460,No || Not mentioned or unclear.,Yes || Discusses BIM as a platform/tool that carries cost estimation information among other functions.,Yes || Examines BIM usage in actual Saudi Arabian construction projects and industry context.,Yes || Discusses stakeholder identification and challenges in BIM adoption among construction project parties.,No || Cost estimation is mentioned as one of several BIM functions but is not the primary focus.
461,No || Focuses on standard design and setting out methods rather than AI/ML models.,No || Not mentioned or unclear.,Yes || Presents a case study of Ogbomoso-Oko-Osogbo Road in Nigeria with actual field measurements and cost data.,No || Not mentioned or unclear.,Yes
462,Yes || Proposes probabilistic fuzzy logic strategic approaches for decision making in bridge cost estimation.,Yes || Describes a bridge information management system (BrIMS) integrated with cost estimation tools and external data interchange protocols.,No || Not mentioned or unclear.,Yes || Mentions overcoming subjectivity in decision making and providing users with recommendations for bridge design alternatives.,Yes
463,Yes || Proposes Ridge and LASSO Regressions, k-NN, and Random Forest algorithms for cost estimation with performance metrics like RMSE and MAPE.,No || Not mentioned or unclear.,"Yes || Uses real project data from rural roads in Iraq/Diyala Governorate for years 2012-2021 and compares results with actual project bids.,No || Not mentioned or unclear.,Yes"
464,Yes || Proposes an XGBoost model for TBM penetration rate prediction with detailed performance metrics.,Yes || Develops an online prediction platform that establishes models and displays results for multiple TBM projects.,Yes || Demonstrates prediction capabilities using 200 field samples from the Songhua River water conveyance project.,Yes || Mentions that users can change algorithm parameters according to engineering situation.,No || Focuses on TBM penetration rate prediction for tunneling rather than construction cost estimation specifically.
465,Yes || Studies intelligent logic analysis algorithms and artificial intelligence technology for construction cost estimation.,Yes || Discusses computer technology integration and systems for construction project cost management including bidding work and information sharing.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
466,Yes || Proposes an ensemble of machine learning models for cost and duration estimation with MAPE results.,No || Not mentioned or unclear.,Yes || Tested using historical data from projects completed between 2004-2015 and validated on 29 and 56 randomly selected projects.,No || Not mentioned or unclear.,Yes
467,No || Focuses on analyzing cost overrun factors rather than proposing AI/ML models.,No || Does not describe software systems or automation tools.,Yes || Conducted semi-structured interviews and questionnaire survey with 80 industry professionals in Sri Lankan construction projects.,Yes || Discusses professionals' knowledge and perspectives on cost overrun factors between pre and post-contract stages.,Yes
468,Yes || Proposes deep neural networks (DNN) for cost estimation and compares with several machine learning models for algorithmic improvements.,No || Not mentioned or unclear.,Yes || Uses data from 98 public school projects in Hong Kong SAR for real-world validation.,No || Not mentioned or unclear.,Yes
469,No || The paper focuses on decision support methodology using AHP and SMART rather than AI/ML models for prediction.,Yes || Describes a computer-based decision support system with integrated modules and database for mobile crane selection.,Yes || The system was tested on a hypothetical project and validated using a real-world endeavor to demonstrate effectiveness.,Yes || Conducted face-to-face interviews with experts to finalize selection criteria and obtain framework for current practice.,No || Primary focus is on mobile crane selection with cost estimation mentioned only as one of several construction management functions.
470,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Analyzes actual road materials and their costs for implementation of a road investment project.,No || Not mentioned or unclear.,Yes
471,No || Develops a ratio-based estimation method rather than an AI/ML model.,No || Not mentioned or unclear.,Yes || Analyzes 628 Texas DOT bridge construction projects with actual project data and validates the method.,No || Not mentioned or unclear.,Yes.
472,Yes || Develops a construction cost estimation model applying collaborative game theory for smart joint logistics centers.,No || Not mentioned or unclear.,Yes || Case study of Republic of Korea with four different scales of smart joint logistics centers and actual construction cost calculations.,No || Not mentioned or unclear.,Yes
473,No || The paper focuses on material properties and structural analysis rather than AI/ML models for cost prediction.,No || Uses ETABS for structural analysis but doesn't describe a cost estimation software system or platform.,Yes || Includes cost estimation analysis comparing lightweight concrete vs normal weight concrete for actual construction scenarios in Saudi Arabia.,No || Not mentioned or unclear.,No || Primary focus is on structural performance of lightweight concrete with cost estimation as a secondary analysis component.
474,Yes || Develops a cost estimation model for hydrogen pipeline construction with economic analysis.,No || Not mentioned or unclear.,Yes || Conducts case study analysis of South Korea's hydrogen pipeline infrastructure scenarios with actual cost comparisons.,No || Not mentioned or unclear.,Yes
475,Yes || Proposes a RS-CBR model combining rough set and case-based reasoning for cost estimation with simulation results.,No || Not mentioned or unclear.,Yes || Conducted empirical analysis on relevant data from actual construction projects and compared with actual costs.,No || Not mentioned or unclear.,Yes
476,No || Focuses on ontology-based system architecture rather than AI/ML model development.,Yes || Describes an ontology-based integrated cost management system with data infrastructure and operation platforms.,Yes || Reports local application with 2% average deviation and implementations for design and tender stages.,Yes || Mentions expert interviews and organizational time savings through automatic data reuse.,Yes
477,No || Focuses on system design rather than AI/ML model development.,Yes || Describes an intelligent platform system for construction staff dispatch with cost estimation functionality.,No || Evaluates system functions but no mention of actual implementation or field testing.,Yes || Discusses operator supervision and staff management aspects of the system.,No || Primary focus is on staff dispatch and personnel management with cost estimation as one component.
478,No || Focuses on technology acceptance rather than proposing or testing AI/ML models for cost prediction.,Yes || Describes BIM-based VR as a preliminary estimating solution that enables automatic BQ updates and design adjustments.,Yes || Includes questionnaire survey with 92 construction professionals in Malaysia to test technology acceptance in real industry setting.,Yes || Extensively discusses technology acceptance using TAM model and addresses factors like skill gaps and user intention to adopt the technology.,Yes
479,Yes || Proposes an optimized firefly algorithm with cuckoo search for cost estimation and tests algorithm performance.,No || Not mentioned or unclear.,No || Only mentions pressure vessel design problem as test case but no real construction project implementation.,No || Not mentioned or unclear.,Yes
480,No || Focuses on information processing framework rather than AI/ML models for prediction.,Yes || Describes a BIM information processing framework with automated integration and checking capabilities.,Yes || Tested with a 12-storey model experiment comparing framework performance to manual operations.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as one example application but framework serves broader BIM enrichment purposes.
481,No || This is a correction notice for a published paper rather than proposing or testing AI/ML models.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
482,Yes || Uses Monte Carlo Simulation (MCS) as a probabilistic model for time-cost estimation in risk analysis.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
483,Yes || Proposes PSO-LSSVR algorithm for cost estimation and compares it with traditional SVM and LSSVR algorithms.,Yes || Designs an embedded smart vision sensor system and proposes a BIM-based cost estimation model for practical implementation.,Yes || Uses historical cost data from a Ningxia company over five years and tests the system for large-scale measurement in construction sites.,No || Not mentioned or unclear.,Yes
484,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Describes actual LTTD plants established at Agatti Minicoy and Kavaratti Islands with construction works in progress for six more islands.,No || Not mentioned or unclear.,No
485,No || Describes a methodological approach rather than proposing or testing AI/ML models.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Focuses on competitiveness potential estimation for transport enterprises rather than construction cost estimation.
486,No || Not mentioned or unclear.,Yes || Describes BIM as a platform and tool for various construction applications including cost estimation.,No || This is a survey review rather than implementation in actual projects.,Yes || Mentions interdisciplinary collaboration and integrated workflows throughout building lifecycle.,No || Cost estimation is mentioned as one benefit among many sustainability-focused topics.
487,Yes || Proposes machine learning models and genetic algorithm optimization for bridge maintenance planning with 84% accuracy prediction.,Yes || Develops a comprehensive bridge maintenance planning framework (BMPF) for engineers to evaluate and maintain bridges.,Yes || Analyzed 95 bridges in a network and selected 19 bridges for maintenance based on real performance data.,Yes || Mentions that decision-makers' preferences were considered and the framework helps engineers with objective evaluation versus engineering judgment.,No || Primary focus is on bridge maintenance planning and performance optimization rather than cost estimation specifically.
488,Yes || Proposes Fuzzy AHP technique as an optimization algorithm for cost estimation and roof structure selection.,No || Not mentioned or unclear.,Yes || Applied to real-world situation in the Libyan building industry with actual roof structure options and cost factors.,Yes || Mentions that models can assist decision-makers in determining cost rank and making optimal choices.,Yes
489,No || Focuses on drilling performance monitoring and benchmarking rather than AI/ML model development.,Yes || Describes real-time monitoring tools and KPI platforms for drilling optimization.,Yes || Discusses implementation with actual drilling operations and well data from previously drilled wells.,No || Not mentioned or unclear.,No || Primary focus is on drilling time optimization rather than construction cost estimation.
490,Yes || Proposes PSO-BPNN-FIS hybrid model for whole life cycle cost estimation and prediction.,Yes || Describes BIM three-dimensional technology platform for visual investment plan modeling.,Yes || Implemented on actual Xibaipo-Fuping Expressway project with real case study application.,No || Not mentioned or unclear.,Yes
491,Yes || Proposes an ANN model for construction cost prediction and analyzes prediction performance based on network depth and node configuration.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
492,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
493,Yes || Develops a Neural Network Selection Engine (NNSE) using MLP back-propagation algorithm and validates with J48 Decision Tree Classifier for premium estimation.,Yes || Presents a machine-learning decision support tool with databases (PPID and IPD) for insurance premium estimation.,Yes || Demonstrates the model using a Class A general contractor in Egypt with 40 past projects and 22 insurers for 12 attempted bids.,No || Not mentioned or unclear.,No || Focuses on construction insurance premium estimation rather than general construction cost estimation.
494,No || Uses traditional CPM method rather than proposing AI/ML models.,No || Not mentioned or unclear.,Yes || Uses market survey data and practitioner data for realistic cost computation.,No || Not mentioned or unclear.,Yes
495,Yes || Proposes XGBoost coupled with RF/ANN/SVM models for cost estimation with performance evaluation using statistical indicators.,No || Not mentioned or unclear.,Yes || Uses datasets from 90 building projects in Iraq and evaluates model performance with real project data.,No || Not mentioned or unclear.,Yes
496,No || This is a literature review analyzing existing research rather than proposing or testing any AI/ML models.,No || Not mentioned or unclear.,No || This is a systematic review of literature rather than implementation in actual projects.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as one of several research topics but the primary focus is on construction project complexity literature review.
497,Yes || Proposes an enhanced ANN-based cost estimating model incorporating artificial neural networks and ensemble modeling for improved predictive accuracy.,No || Not mentioned or unclear.,No || Uses experimental results but no mention of actual construction project implementation or real company setting.,No || Not mentioned or unclear.,Yes
498,Yes || Proposes linear regression methods for cost estimation with mathematical modeling approach.,No || Not mentioned or unclear.,Yes || Includes field surveys and market surveys for real ferry construction cost data.,No || Not mentioned or unclear.,Yes.
499,Yes || Proposes an ANN technique to predict construction activities with detailed model performance metrics including MAPE and R2 values.,No || Not mentioned or unclear.,Yes || Uses a dataset of 909 construction activities with real costs and construction data for RAC implementation.,No || Not mentioned or unclear.,Yes
500,No || Focuses on institutional logics and professional judgment rather than AI/ML models.,No || Not mentioned or unclear.,Yes || Includes exploratory study of two projects in one firm with real contractor pricing processes.,Yes || Extensively discusses professional judgment and how different types of professionals collaborate in pricing decisions.,Yes
501,Yes || Develops a cost estimation equation using least-squares method with non-linear family equation for EPC cost approximation.,No || Not mentioned or unclear.,Yes || Uses data from previously executed GEPP projects and validates with actual feasibility studies.,No || Not mentioned or unclear.,Yes
502,No || Does not propose or test any AI/ML models for cost prediction.,No || Does not describe any software systems or tools for cost estimation.,Yes || Studies actual drinking water distribution projects in Banda Aceh with real contractor data from 2015-2020.,Yes || Includes questionnaire survey of contractors and analyzes their perceptions about cost overrun factors.,Yes
503,Yes || Proposes a methodology using SOM modeling (machine learning) for risk estimation with focus on algorithmic approach.,No || Not mentioned or unclear.,Yes || Includes validation through a case study with Oil & Gas Offshore infrastructure projects.,No || Not mentioned or unclear.,Yes
504,Yes || Proposes predictive models for TBM performance using multiple indices from in-situ testing with correlation analysis.,Yes || Describes an in-situ indentation testing system for TBM performance prediction.,Yes || Applied to a TBM-excavated tunnel with database of 235 tests and corresponding TBM operating parameters.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as context but TBM performance prediction is the primary focus.
505,Yes || Investigates seven machine learning techniques including ANN and SVR for cost estimation with focus on model performance.,No || Not mentioned or unclear.,Yes || Uses a database of construction costs and design characteristics for 181 actual bridges for model training and evaluation.,No || Not mentioned or unclear.,Yes
506,No || Focuses on BIM for physical deterioration assessment rather than AI/ML models.,Yes || Describes BIM technology as a platform for existing building assessment and cost estimation.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Cost estimation is mentioned but primary focus is on physical deterioration assessment of existing buildings.
507,No || Focuses on system integration rather than proposing or testing specific AI/ML models.,Yes || Describes a BIM-VR integrated system with real-time cost calculation capabilities for home customization.,No || No mention of actual implementation in real projects or validation with actual cost data.,Yes || Explicitly mentions minimizing seller-customer perception discrepancies and providing first-person customer views.,Yes
508,Yes || Proposes a stratification-based method for computing time and cost estimations with uncertainty consideration.,No || Not mentioned or unclear.,Yes || Method is illustrated with a construction project example.,No || Not mentioned or unclear.,Yes
509,No || Focuses on material properties and database evaluation rather than AI/ML models.,No || Not mentioned or unclear.,Yes || Uses comprehensive database with over 1100 test series covering construction practice applications.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as one application but primary focus is on fiber-concrete material properties and strength relationships.
510,Yes || Proposes a neural network approach and machine learning cost estimation model for infrastructure projects.,No || Not mentioned or unclear.,Yes || References government reports and private company data for road infrastructure projects in India with 20% cost overrun statistics.,No || Not mentioned or unclear.,Yes
511,No || This is a literature review that analyzes existing research rather than proposing or testing specific models.,No || While BIM is mentioned as an emerging trend the paper does not describe specific software systems or platforms.,No || This is a bibliometric analysis of literature rather than implementation in actual projects.,No || Not mentioned or unclear.,Yes || The paper specifically focuses on construction cost estimation literature and emerging trends in this field.
512,Yes || Reviews machine learning methods like Artificial Neural Networks and Support Vector Machines for cost estimation with focus on algorithmic performance.,No || Not mentioned or unclear.,No || Literature review without implementation in actual projects or real-world testing.,No || Not mentioned or unclear.,No || Focuses on automotive supply chain cost estimation rather than construction cost estimation.
513,Yes || Develops multivariate time series models (VEC and VAR) for cost forecasting with emphasis on model accuracy and algorithmic improvements.,No || Not mentioned or unclear.,No || Uses time series data but no mention of actual project implementation or field testing.,No || Not mentioned or unclear.,Yes
514,No || The paper focuses on risk identification and analysis rather than proposing AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || Uses questionnaire survey data from 206 quantity surveyors in Nigeria to evaluate construction estimating risks.,Yes || Discusses the expertise of estimators and their role in construction cost estimation risk assessment.,Yes
515,Yes || Establishes investment cost estimation model and cost per unit of electricity model for wind-storage power stations.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
516,Yes || Develops a computer model for cost estimation using RSMeans data with multiple variables as inputs.,Yes || Describes a simple computer model designed for recommending optimal composite flooring systems.,Yes || Uses real data from RSMeans Assemblies Books spanning 1997-2019 for actual cost estimation.,Yes || Mentions value engineering team usage and application during preliminary design stage by professionals.,Yes
517,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Analyzes over 1300 real cases from 11 countries with actual green building cost data.,No || Not mentioned or unclear.,Yes
518,No || The paper focuses on cost-benefit analysis methodology rather than proposing AI/ML models for cost prediction.,No || No software system or automation tool is described.,Yes || Uses design and construction data collected from an actual project under construction in Selangor.,No || Not mentioned or unclear.,Yes
519,No || Focuses on blockchain technology for BIM rather than AI/ML models for cost prediction.,Yes || Describes development of a blockchain-based platform for BIM applications.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as one of many BIM tasks but is not the primary focus.
520,Yes || Develops machine learning algorithms and linear models for cost prediction with emphasis on model accuracy and prediction performance.,Yes || Describes a modeling pipeline that automates the cost forecasting process to reduce manual work.,Yes || Uses real data from Florida Department of Transportation's highway construction projects between 2001 and 2017 for testing.,No || Not mentioned or unclear.,Yes
521,Yes || Develops an automated design and cost estimation algorithm with member selection and design procedures.,Yes || Describes an automated design and cost estimation algorithm as a computational tool.,No || Uses archetype designs for scenario analyses but no real project implementation mentioned.,No || Not mentioned or unclear.,Yes
522,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Conducted questionnaire survey among 106 contractors and consultants in Egypt.,Yes || Discusses experience and skill level of cost estimator as a significant factor affecting accuracy.,Yes
523,Yes || Proposes a Cost Significant Model using linear regression analysis for bridge construction cost estimation with mathematical formulation.,No || Not mentioned or unclear.,Yes || Uses actual data from steel frame bridge construction projects in South Sulawesi Province to formulate and validate the model.,No || Not mentioned or unclear.,Yes
524,No || The paper focuses on a cost estimation methodology (EDF) rather than proposing or testing AI/ML models.,No || Not mentioned or unclear.,Yes || The paper applies the EDF method to estimate capital costs of CO2 capture plants and compares results with other methodologies using actual equipment cost data.,No || Not mentioned or unclear.,Yes
525,No || The paper analyzes cost ratios through statistical analysis rather than proposing AI/ML models.,No || No software systems or automation tools are described.,Yes || Study analyzes actual cost data from 22 completed buildings over 10 years.,No || No discussion of human interaction with estimation tools or methods.,Yes
526,No || The paper focuses on techno-economic analysis of a methanol plant rather than proposing AI/ML models for cost prediction.,No || The paper does not describe software systems or automation tools for cost estimation.,Yes || The paper includes investment cost estimation and economic feasibility analysis for an actual methanol plant construction project.,No || No discussion of human factors or user interaction with estimation tools.,No || The primary focus is on techno-economic analysis of biomass conversion rather than construction cost estimation specifically.
527,No || This is a scientometric review analyzing research trends rather than proposing or testing specific ML models.,No || Not mentioned or unclear.,No || This is a literature review analyzing existing studies rather than implementing in real projects.,Yes || Mentions findings will help both professionals and researchers understand ML knowledge evolution in construction management.,No || Cost estimation is mentioned as one of five main application areas but the paper's primary focus is on overall ML research trends in construction management.
528,Yes || Proposes a neural network-based classification solution for automatic geometric BIM element labeling with focus on network architecture and accuracy evaluation.,No || Not mentioned or unclear.,Yes || Evaluates the network architecture on a real BIM dataset from actual construction projects.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as one of several BIM phases but the paper focuses on shape classification of BIM elements.
529,No || Focuses on a scoring system rather than AI/ML model development or algorithmic improvements.,Yes || Describes ACCISS as a user-friendly program/system for automated evaluation of design alternatives.,Yes || Includes a case study with three design alternatives and regression analyses for validation.,Yes || Explicitly mentions reducing stakeholders' subjectivity and describes the system as simple and user-friendly.,Yes
530,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Laboratory testing with actual bitumen samples and rubber waste powder replacement at different percentages.,No || Not mentioned or unclear.,No
531,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Includes a national survey of 96 responses from state transportation agencies about real project management practices.,Yes || Discusses team qualifications and decision-maker assessment of project management strategies.,No
532,No || The paper analyzes existing project performance data rather than proposing or testing AI/ML models.,No || Not mentioned or unclear.,Yes || Studies 72 actual urban construction projects in Karaj Iran by reviewing their documents and real performance data.,No || Not mentioned or unclear.,Yes
533,Yes || Proposes artificial neural networks with different activation functions and Taguchi method for estimation modeling.,No || Not mentioned or unclear.,Yes || Uses six different datasets divided into clusters for validation of the proposed model.,No || Not mentioned or unclear.,No
534,Yes || Proposes a gray BP neural network model for cost estimation with MATLAB implementation and simulation results.,No || Not mentioned or unclear.,Yes || Tests the model using engineering cost data collected from Zhengzhou city and compares with standard BP neural network.,No || Not mentioned or unclear.,Yes
535,No || Focuses on BIM-based framework integration rather than AI/ML model development.,Yes || Develops a BIM-based extension in Revit environment for automated cost estimation.,Yes || Implemented to estimate cost of architectural discipline in a real construction project.,No || Not mentioned or unclear.,Yes
536,Yes || Develops ARIMAX time-series models to forecast the ratio of low bid to owner's estimate with high accuracy.,No || Not mentioned or unclear.,Yes || Uses data from state DOTs and highway construction projects to analyze actual bid-to-estimate ratios.,Yes || Mentions helping cost estimating professionals in transportation agencies better understand variability and prepare more accurate estimates.,Yes
537,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
538,No || Focuses on BIM applications rather than proposing specific AI/ML models for cost prediction.,Yes || Describes use of BIM software platforms like FormIT Revit Ecotect and Navisworks for design and cost estimation.,Yes || Presents a case study implementation at Van Lang University with actual building project.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as one application among multiple BIM uses for green design.
539,No || Focuses on BIM-based cost control strategy rather than proposing specific AI/ML models.,Yes || Describes BIM-based cost management system with dynamic connection across project lifecycle stages.,Yes || Includes case analysis showing the scheme can process engineering quantity information and demonstrates cost savings.,No || Not mentioned or unclear.,Yes
540,Yes || Proposes a cost estimation model based on XML statistics for query optimization.,No || Not mentioned or unclear.,Yes || Includes experimental results comparing performance with existing query methods.,No || Not mentioned or unclear.,No
