PaperID,Authors,Author full names,Author(s) ID,Title,Year,Source title,Link,Abstract
481,,,,"Correction to: State-of-the-art review on benefits of applying value engineering for multi-story buildings (Intelligent Buildings International, (2022), 14, 5, (544-563), 10.1080/17508975.2020.1806019)",2022,Intelligent Buildings International,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110829375&doi=10.1080%2f17508975.2021.1951973&partnerID=40&md5=5f075afe3f91d22e3be3cb94edf8a8a2,"Article title: State-of-the-Art Review on Benefits of Applying Value Engineering for Multi-Story Buildings Authors: Elhegazy, H. Journal:Intelligent Buildings InternationalDOI:http://doi.org/10.1080/17508975.2020.1806019 Since this article was first published online, the following changes have been made: The caption for Figure 2 has been updated from ‘The impact of cost reduction on Project Life Cycle’ to ‘The impact of cost reduction on Project Life Cycle (Suckarieh 2019)’.Several sentences have been removed from the first, second, third and fifth paragraphs in Section 9.The sentences that read ‘Cho, Bae and Kim (2005) studied the structural system optimization … computerized linear programing’ have been reworded to the following: ‘For the reinforced concrete multi-story buildings, the dual system is the most suitable system for medium and high-rise buildings with combination with solid slabs for short spans and ribbed slabs for medium and long spans. Frame with solid slabs is the optimum for low rise with short spans and shear wall with the flat slab is the optimum for low rise with medium and long spans (Elhegazy et al. 2020).’The caption for Table 2 has been updated from ‘Summary of earlier researches in multi-story optimization’ to ‘Summary of earlier researches in multi-story optimization (Elhegazy et al. 2020).’ The content of the table has also been updated to the following: (Table presented.) The second and third paragraphs in Section 10 have been replaced with a new paragraph, starting ‘A number of researchers … ’.The following new references have been added to the reference list: Elhegazy, Hosam, Debaditya Chakraborty, Hazem Elzarka, Ahmed M. Ebid, Ibrahim M. Mahdi, Said Y. Aboul Haggag, and Ibrahim Abdel Rashid. 2021b. “Artificial Intelligence for Developing Accurate Preliminary Cost Estimates for Composite Flooring Systems of Multi-Storey Buildings.” Journal of Asian Architecture and Building Engineering. doi:10.1080/13467581.2020.1838288. Elhegazy, Hosam, Ahmed Ebid, Ibrahim Mahdi, Said Haggag, and Ibrahim Abdul-Rashied. 2021a. “Implementing QFD in Decision Making for Selecting the Optimal Structural System for Buildings.” Construction Innovation 21 (2): 345–360. doi:10.1108/CI-12-2019-0149. Elhegazy, Hosam, Ahmed M. Ebid, Ibrahim M. Mahdi, S.Y. Aboul Haggag, and Ibrahim Abdel Rashid. 2020. “Selecting Optimum Structural System for R.C. Multi-story Buildings Considering Direct Cost.” Structures 24: 296–303. doi:10.1016/j.istruc.2020.01.039. The sentences that read ‘Also, the QFD process is … ’ in Section 7 (page 11) have been reworded to the following: In addition, the QFD process is applied by considering the customer requirements, the technical specifications, and the specifications. QFD approach was proposed that enables decision makers and designers to select the optimum system for multi-story buildings according to the KPIs towards client satisfaction and conduct analytical investigations to facilitate decision making in structural system for the multi-story building in Egypt (Elhegazy et al., 2021a).The second paragraphs in Section 10 have been replaced with a new paragraph, starting ‘A number of researchers … ’. have been reworded to the following: A number of researchers have applied various approaches in construction management, principally for decision-making, forecasting, cost estimation and optimization. The traditional cost estimating makes use of blueprints and specifications; comparative cost estimating assumes a linear relationship between the final cost and the basic design variables of the project (Gunaydın and Dogan 2004). Developments in computer and software technology have facilitated novel approaches for cost estimation. The overall cost of a multistory residential building may come down considerably if the structural system is designed efficiently. A simple computer model was designed for recommending the optimal composite flooring system of a multi-story building, during the preliminary design stage. An artificial neural network (ANN) model can help the designers to make informed decisions in the early phases of the design process (Elhegazy et al. 2021b). © 2021 Informa UK Limited, trading as Taylor & Francis Group."
482,Yaghubi D.; Dorodiyan M.; Adibi M.A.,"Yaghubi, D. (58081906500); Dorodiyan, M. (58081386800); Adibi, M.A. (35095004200)",58081906500; 58081386800; 35095004200,Time-cost estimation probabilistic model using MCS in quantitative risk analysis in BOT renewable energy projects,2022,International Journal of Industrial Engineering and Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147035436&doi=10.24867%2fIJIEM-2022-4-317&partnerID=40&md5=ce40330ca4aeaf5c96c3adaea08c37ca,"The purpose of this study is to investigate the impacts of risks in the construction and operation period of BOT waste-to-energy projects, and the estimation of the final costs. In this study, the cost and impact of identified risks on the activities of the construction and operation phase are estimated, then the time and cost of a waste-to-energy project are calculated. The results of this study indicate that simultaneous and continuous consideration of risk effects such as inflation, sanctions, and maintenance in projects leads to much different time and cost than the forecasted fixed costs; that is, in the case of an error by the private sector in the determination of the operation period, the project might be faced with delays and ultimately failure. © 2022, International Journal of Industrial Engineering and Management. All Rights Reserved."
483,Liu S.; Liu X.; Wang Z.; Wan Y.; Wang X.,"Liu, Shangke (57212467342); Liu, Xiaomin (56454551400); Wang, Zheng (57200899929); Wan, Ye (57483820200); Wang, Xiyuan (57640938700)",57212467342; 56454551400; 57200899929; 57483820200; 57640938700,Design and Application of Smart Vision Sensor Using Embedded Technology in Cost Management of Power Transmission and Transformation Project in Ningxia Companies,2022,Wireless Communications and Mobile Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131426879&doi=10.1155%2f2022%2f5266758&partnerID=40&md5=dd3322a0e580c2ffc4f6b52eb04bbac9,"The purpose is to solve the problems of cumbersome calculation, low accuracy, poor timeliness, rigid data acquisition, high cost, large volume, and insufficient signal processing capacity of traditional vision sensor (VS) in Ningxia companies. Firstly, this paper designs an embedded smart VS based on advanced RISC machines (ARM) processor. Secondly, it proposes a cost estimation algorithm for power transmission and transformation project (PTTP) based on particle swarm optimization-least squares support vector regression (PSO-LSSVR). Afterward, a cost estimation model of PTTP based on building information modeling (BIM) is proposed. Thirdly, historical cost data of PTTP of a Ningxia company within five years are selected as data samples to verify the accuracy of the PSO-LSSVR estimation algorithm and BIM model. The results show the following: (I) The measurement error of the designed smart VS is less than 4%, with high accuracy, which is suitable for large-scale measurement in the construction site. (II) The error of the PSO-LSSVR algorithm in engineering cost prediction is less than 20%, and the accuracy is higher than that of traditional support vector machine (SVM) and LSSVR algorithms. The optimization effect is remarkable and can be used for the feasibility analysis of PTTPs. (III) The proposed BIM-based PTTP cost estimation model error in the project cost estimation is controlled within 10%. With high accuracy, it can be applied to the PTTP management of Ningxia company. The purpose is to provide important technical support for the upgradation of traditional VS technology and the realization of visual management and rapid cost estimation of PTTP of Ningxia companies.  © 2022 Shangke Liu et al."
484,Gujjula D.; Raju Alluri S.K.; Dhinesh G.; Phani Kumar S.V.S.; Ramana Murthy M.V.,"Gujjula, Devender (56177644900); Raju Alluri, Satya Kiran (56178587000); Dhinesh, G. (15072772200); Phani Kumar, S.V.S. (56177738500); Ramana Murthy, M.V. (36981070800)",56177644900; 56178587000; 15072772200; 56177738500; 36981070800,Scaling of low-temperature thermal desalination plants – design space exploration,2022,Desalination and Water Treatment,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130882358&doi=10.5004%2fdwt.2022.28401&partnerID=40&md5=7ce19726ce087bd827cbb98e5d7da919,"Low-temperature thermal desalination (LTTD) process uses naturally available ocean thermal gradient that is environmentally friendly with the advantage of minimum maintenance. The process deals with evaporating the warmer surface seawater at low pressures and condensing the resultant vapour using deep sea cold water available at about 350–400 m below sea level. Ministry of Earth Sciences (MoES) – National Institute of Ocean Technology (NIOT) has established LTTD plants with fresh water generation capacity of 1 Lakh Liters Per Day (LLPD) at Agatti, Minicoy and Kavaratti Islands and those plants were being run by UT administration using local manpower. The construction works are in progress for setting up the similar plants in six more islands with a capacity of 1.5 LLPD. In the view of rapidly growing population, tourism activities and to meet the long term needs in remote islands, the design studies were carried out for scaled-up LTTD plants, from 1.5 to 7 LLPD. The studies presented in this paper, facilitate us to instantly identify the size of major components and determine the preliminary cost for implementation for any capacity of the plant up to 7 LLPD, which ultimately results in significant reduction in design lead time. © 2022 Desalination Publications. All rights reserved."
485,Halkevych M.; Kovalenko N.; Yatsukh O.O.; Shuldiner J.; Bernevek T.I.,"Halkevych, Maryna (57439036500); Kovalenko, Natalya (58181207400); Yatsukh, Olena O. (57217023260); Shuldiner, Julia (57214226598); Bernevek, Tatyana I. (57991333100)",57439036500; 58181207400; 57217023260; 57214226598; 57991333100,SUBSTANTIATION OF METHODOLOGICAL APPROACH TO THE COST ESTIMATION OF COMPETITIVENESS POTENTIAL OF A TRANSPORT ENTERPRISE,2022,International Journal of Agricultural Extension,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182120780&doi=10.33687%2f010.00.3854&partnerID=40&md5=95d4776c1972ba778b611e5e6563bb0c,"The article addresses a methodological approach to the cost estimation of the competitiveness potential of a transport enterprise. The estimation of a transport enterprise's competitiveness involves several stages. The first stage defines the competitive status of a transport enterprise through the construction of a competitiveness matrix. The competitiveness coefficient of transportation service is defined at the second stage. Then the competitiveness of all services of transport enterprise is analyzed. The average value of competitiveness of all transport and related services is obtained through defining the estimation. To estimate the market cost of competitiveness potential appropriately, we determined competitiveness indicators and the cost of a transport enterprise. At the next stage of the given analysis, it is necessary to estimate how the aims and strategic plan for the development of the transport enterprise are achieved. The development efficiency, competencies implementation, and competitive advantages in the market were determined through a traditional approach (the effect and cost of the resources spent for obtaining efficiency). © The Author(s) 2022."
486,Alasmari E.; Martinez-Vazquez P.; Baniotopoulos C.,"Alasmari, Esam (57766453800); Martinez-Vazquez, Pedro (16402927600); Baniotopoulos, Charalampos (7003983711)",57766453800; 16402927600; 7003983711,BUILDING INFORMATION MODELING (BIM) TOWARDS A SUSTAINABLE BUILDING DESIGN: A SURVEY,2022,CESARE Conference Publications,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132920659&partnerID=40&md5=47aa44bc5f52767f236c83b7a5394caa,"Environmental sustainability has become ingrained in the engineering profession to mitigate the effects of climate change. In such a context, BIM provides an efficient tool that integrates various dimensions that underpin the sustainable design performance of civil infrastructure. In its current architecture, BIM is subdivided into seven dimensions being the 6th focused on sustainability. BIM is also a platform for interdisciplinary collaboration at all levels, which enables modelling, design, operation and maintenance of systems throughout their life span. Benefits of BIM include time-saving, quicker cost estimation, minimization of processes to implement changes, integrated sustainability and life cycle cost, optimization in the use of energy including through daylight analysis, thermal design, timely detection of human errors, efficient risk management, operations and maintenance, and quantity take-off during the pre-construction phase. BIM therefore enhances conventional design approaches while embedding the sustainability aspect for improved building prototyping. In the present paper, a survey review was carried out to quantify the importance of BIM for the creation of environmentally sustainable designs. The investigation also reports on a thorough review of literature to assess its viability and relevance. The scope of this paper is therefore to provide a complete overview of BIM from a research perspective. © 2022, Jordan University of Science and Technology. All rights reserved."
487,Jaafaru H.; Agbelie B.,"Jaafaru, Hussaini (57795156100); Agbelie, Bismark (56256469900)",57795156100; 56256469900,"Bridge maintenance planning framework using machine learning, multi-attribute utility theory and evolutionary optimization models",2022,Automation in Construction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133909995&doi=10.1016%2fj.autcon.2022.104460&partnerID=40&md5=8035a34b64739dce69cf099edec20ce0,"Although various tools and procedures have been developed to help transportation engineers objectively evaluate bridge maintenance needs, selecting and scoping projects still relies on engineering judgment. The present paper intends to help engineers evaluate and maintain bridges by developing a comprehensive bridge maintenance planning framework (BMPF) within financial and performance constraints. The paper's objectives are to maximize the performance condition level of bridges and to minimize the maintenance cost by optimally planning the maintenance treatments. The framework includes bridge performance impact assessment, machine learning models, multi-attribute utility theory ranking model and genetic algorithm optimization model. The study analysed 95 bridges in a network with an 84% accuracy machine learning model prediction. Decision-makers' preferences were considered to rank all bridges using Multi-Attribute Utility Theory. 19 bridges were then chosen for maintenance based on budget and performance using a genetic algorithm model. The BMPF was observed to improve project productivity, reduce down time, and improve bridge inventory condition. Future research can explore the use of other optimization approaches and also include traffic flow and construction cost analysis for a better maintenance cost estimation. The machine learning model for performance prediction can be enhanced by utilizing different techniques. © 2022"
488,Alfaggi W.; Naimi S.,"Alfaggi, Walid (57815799500); Naimi, Sepanta (54179598700)",57815799500; 54179598700,An Optimal Cost Estimation Practices of Fuzzy AHP for Building Construction Projects in Libya,2022,Civil Engineering Journal (Iran),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134740554&doi=10.28991%2fCEJ-2022-08-06-08&partnerID=40&md5=be7d102658857df8f97a48c4201801cd,"This paper analysis and reviews the construction projects in Libya. In Libya, construction projects often face challenges due to the lack of proper information and data in cost-estimation methods. The primary goal of this paper is to demonstrate the estimation of construction costs using various methods. An optimization strategy based on a well-known robust algorithm The Fuzzy AHP technique is used to estimate the best roof structure choice based on cost rank among one or two-way flat slab, post-tension slab, pre-tension slab, waffle slab, and hollow core slab. The roofs were created employing five main factors that were implemented in a real-world situation in the Libyan building industry. The cost of materials, labor, machinery, transportation, and trash on site were all considered. Research findings show that the models can assist decision-makers in determining the cost rank of roof selection. When a range of methods are applied and compared to guarantee that this is the best option. This research study must be taken seriously when estimating and managing the contract and length of highway construction projects in the early stages of project development so that the time difference at the end of the project can be kept to a minimum by decision-makers when choosing the roof with the lowest cost. © 2022 by the authors. Licensee C.E.J, Tehran, Iran."
489,Vojteski I.; Liebenberger M.-P.; Koller C.; Ivanovic M.; Thonhauser G.,"Vojteski, Ivan (58238282700); Liebenberger, Marc-Philipp (58238034700); Koller, Christian (57189491656); Ivanovic, Miodrag (58236581600); Thonhauser, Gerhard (6603149038)",58238282700; 58238034700; 57189491656; 58236581600; 6603149038,Real Time Best in Class Practices of Benchmarking to Optimize Drilling Time and Cost for Geothermal Wells,2022,Transactions - Geothermal Resources Council,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158086139&partnerID=40&md5=12369f75d334fd941d97af9a9f683366,"Real-time monitoring based on automated rig activities detection and classification from rig data are well-known procedures to evaluate rig performance in the drilling industry. For the past ten years, performance benchmarking has been a standard practice to analyze, optimize well durations and the related costs. Operators, rig contractors, and service companies have focused on reducing and mitigating Non-Productive Time (NPT) and Invisible Lost Time (ILT). However, mitigation of NPT and ILT remains a challenge for operations, largely due to ineffective procedures and monitoring tools. Operations teams are continuously challenged in the pre-planning phase and during the operational phase to optimize drilling time and reduce related well construction costs by setting the targets to best practice benchmarks. Currently, standard performance benchmarking in geothermal drilling does not utilize pre-planning analysis and real-time Key Performance Indicator (RT KPI) monitoring. The presented paper highlights the importance of both, presents the concept and the procedures which result in the reduction of ILT, and show how performance benchmarking optimizes drilling time and cost. Methods in the pre-planning phase and during the operational phase improve the operating procedures by implementing pre-planning tools, real-time monitoring tools and centralizing KPIs. The real-time monitoring tool utilizes surface sensor data that generates real-time KPIs. The procedure uses monitoring based on sensor data and utilizes centralized KPIs to define best practices. The best practices are then applied as a benchmark for upcoming drilling campaigns. Using KPI offset data from previously drilled wells makes the well planning easier and more accurate in terms of time and cost estimation resulting in faster planning. Simulating the same plan with different available rigs and their performance KPIs provides the engineer with a powerful comparison tool to find the best and most cost-efficient rig to drill the well of interest. Furthermore, the results show the requirement for permanent monitoring of changes to well engineering and operation efforts to establish Best of the Best (BotB) practices to avoid service quality issues that lead to NPT and the reduction or elimination of ILT. Using KPI driven well planning, including an automated operation sequence simulation saves time in the pre-planning phase. The time and cost estimations provide quality working material to review and work forward towards the process steps until the final plan. Finally, a public platform to compare and benchmark performance of global drilling activities and service providers is suggested to optimize performance of the industry and reduce cost of geothermal drilling in general, making this form of energy more competitive. © 2022 Geothermal Resources Council. All rights reserved."
490,Duan X.; Dong R.; Hao J.,"Duan, Xiaochen (24450190700); Dong, Ruping (57788451200); Hao, Jingjing (57786957500)",24450190700; 57788451200; 57786957500,Research on the Intelligent Decision-making Method for Investment Plan of Transportation Construction Project; [交通建设项目投资方案智能决策方法研究],2022,Journal of Railway Engineering Society,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133587712&partnerID=40&md5=5176ec37eb9ca301a080b773e57c167c,"Research purposes: The current investment estimation methods for transportation construction projects are difficult to accurately reflect the complexity, nonlinearity and the characteristics of the whole life cycle of transportation construction projects. Taking Xibaipo-Fuping Expressway as an example, this paper comprehensively uses PSO, BPNN, FIS and BIM three-dimensional technology to carry out the whole life cycle cost estimation and investment option comparison of transportation construction project. Research conclusions:(1) The traffic construction project investment estimation information database is established to provide certain historical data for the selection of investment plans. (2) Combining the characteristics of the proposed project, using the PSO method to screen out similar projects, based on BP neural network model, this paper separately predicts its construction cost and operating cost in the next 20 years, and then uses FIS to predict its operating cost in the next 21~100 years, combining three parts of data to obtain the whole life cycle cost. (3) From an economic point of view, with the best life-cycle cost as the decision criterion, BIM three-dimensional technology is used to establish a visual model of the investment plan, so that decision makers can find the best one. (4) The research result can provide a reference for the decision-making of investment plans for transportation construction projects. © 2022, Editorial Department of Journal of Railway Engineering Society. All right reserved."
491,Yun S.,"Yun, Seokheon (25523005200)",25523005200,Predictive Performance of Building Construction Estimation: An Analysis based on ANN Model,2022,Journal of System and Management Sciences,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132568824&doi=10.33168%2fJSMS.2022.0216&partnerID=40&md5=f5340a164d85baa122e15a04f37f6ecf,"Recently, various technologies capable of implementing artificial intelligence have been developed along with the expansion of interest in machine learning. Efforts are also being made to introduce various machine learning technologies in the construction field. The most important thing in the construction field is construction costs, and technologies that can be used practically in predicting construction costs have not been developed. The learning model of construction cost prediction can be composed of various elements, and depending on these factors, the prediction performance is greatly affected. In this study, the influencing factors affecting the prediction of construction costs are derived, and based on these, the change in construction cost prediction performance according to the depth of the Artificial Neural Network (ANN) model and the configuration of the node is analyzed. The construction cost prediction model based on machine learning is expected to help predict and analyze construction costs more accurately and quickly in the future. © 2022, Success Culture Press. All rights reserved."
492,Autino A.V.; Grandl W.; Stone J.; Foing B.,"Autino, Adriano V. (16645007200); Grandl, Werner (15834717000); Stone, Jerry (58531934400); Foing, Bernard (7005973296)",16645007200; 15834717000; 58531934400; 7005973296,Lagrange Asteroid City (LAC) - Asteropolis: The O'Neill's Space Urban Model Revisited,2022,"Proceedings of the International Astronautical Congress, IAC",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167626910&partnerID=40&md5=63e99af57e8c41c7855ad48e92469eaa,"This paper proposes an orbiting infrastructure to be located at an Earth-Moon Lagrange point (L5 or L4). The envisaged infrastructure, designed to include both habitation and industrial settlements, will be carved inside a Near Earth Asteroid to be captured and moved to such destination in the cislunar space region. The solution will solve both the main threats to civilian life in outer space: rotation will provide artificial gravity 1g and protection against cosmic radiation and solar flares. Being the living volumes obtained inside the body of the asteroid, many meters of rock will be opposed to incoming radiation and micrometeorites. The paper will also describe the mining process to dig a cave of at least half of the asteroid's volume. This cave will contain the rotating living and agricultural facilities for some thousand inhabitants. The various materials produced by mining can be used for construction. Oxygen, hydrogen and carbon can be extracted if the chosen asteroid is carbonaceous. Natural sunlight can be collected outside the asteroid by parabolic mirrors and beamed into the cave through a central tunnel. The goal is to provide in the long run a closed self-sustainable biosphere. The industrial plants and the harbour with docking facilities will be built as non-rotating modular structures outside the asteroid hull. The paper includes a conceptual study and some basic requirements, to facilitate further stages of the project, i.e. feasability and cost estimations. We will mention also some possible precursor projects to study and test artificial gravity to investigate the influence of centrifugal forces and the Coriolis acceleration on the human body. © 2022 by the International Astronautical Federation (IAF). All rights reserved."
493,El Hakea A.H.; Eid M.S.,"El Hakea, Ayman H. (56028009800); Eid, Mohamed S. (56288020300)",56028009800; 56288020300,Construction Insurance Machine-Learning Estimation Approach for Multiple Attempted Bids,2022,"Construction Research Congress 2022: Project Management and Delivery, Controls, and Design and Materials - Selected Papers from Construction Research Congress 2022",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128953150&doi=10.1061%2f9780784483978.029&partnerID=40&md5=2768bab6cf8a80d8088ccec83cc7134a,"Accurate insurance cost estimation is crucial for contractors. This paper presents a machine-learning decision support tool to estimate optimal insurance premiums for multiple attempted bids. The authors adopted a three-step methodology: (1) construct a Past Project Insurance Database (PPID) including estimated versus post-Award premiums; (2) create an Insurance Providers Database (IPD) including insurer attributes and evaluations; and (3) develop a Neural Network Selection Engine (NNSE) for premium estimation. To demonstrate the model, a Class A general contractor in Egypt is presented, featuring 40 of its past projects and 22 insurers, while considering 12 attempted bids. Using the Multilayer Perception (MLP) back-propagation algorithm, the NNSE achieved a training error of 2.2%. Additional validation was performed using the J48 Decision Tree Classifier algorithm, achieving an error of 0.99%. Further validation is recommended to compare actual policy premiums with the results predicted by the model. This paper contributes to the body of knowledge by presenting a machine learning approach for contractors in developing countries to optimize their construction insurance profiles. © 2022 ASCE."
494,Singh P.L.; Malik S.S.; Gupta B.P.S.; Pahadia P.; Sindhwani R.,"Singh, Punj Lata (57194412667); Malik, Sharad Singh (57808314200); Gupta, Bhanu Pratap Singh (57808854000); Pahadia, Piyush (57808714900); Sindhwani, Rahul (57189027827)",57194412667; 57808314200; 57808854000; 57808714900; 57189027827,Assessment and Performability of Green and Conventional Building: Time and Cost Analysis,2022,International Journal of Performability Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134389773&doi=10.23940%2fijpe.22.06.p1.387395&partnerID=40&md5=4d4d778fb9007b7d2a8a8ca98a7d9058,"The cost and time estimation of any construction project are very important tasks for economic impact and overrun of a construction. The tactics endure to plan, schedule, control of project time, and compute the investment to be contributed as sustainable and reliable. This research aims to assess conventional and green buildings characterized by cost and time estimation. The cost of various materials along with labour cost, plant, and machinery costs, etc. was calculated using data from market surveys, practitioner data, literature, and schedule of rates for Delhi issued by the Central Public Works Department. All these techniques of cost estimation helped in computing a more realistic construction cost of the buildings. While Critical Path Method (CPM) was used for time analysis to overcome impeded efficiency of traditional techniques of decision making such as Gantt chart as dodge time overrun of the construction. The influence of green and conventional building assessment favoured the productivity to the aspect of energy efficiency and overrun extent. © 2022 Totem Publisher, Inc. All rights reserved."
495,Ali Z.H.; Burhan A.M.; Kassim M.; Al-Khafaji Z.,"Ali, Zainab Hasan (57222326511); Burhan, Abbas M. (57198803680); Kassim, Murizah (55310783100); Al-Khafaji, Zainab (59269097000)",57222326511; 57198803680; 55310783100; 59269097000,Developing an Integrative Data Intelligence Model for Construction Cost Estimation,2022,Complexity,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139596427&doi=10.1155%2f2022%2f4285328&partnerID=40&md5=146b35ed988c8fefb83b0ae90408f76a,"Construction cost estimation is one of the essential processes in construction management. Project cost is a complex engineering problem due to various factors affecting the construction industry. Accurate cost estimation is important in construction management and significantly impacts project performance. Artificial intelligence (AI) models have been effectively implemented in construction management studies in recent years owing to their capability to deal with complex problems. In this research, extreme gradient boosting is developed as an advanced input selector algorithm and coupled with three AI models, including random forest (RF), artificial neural network (ANN), and support vector machine (SVM) for cost estimation. Datasets were gathered based on a survey conducted on 90 building projects in Iraq. Statistical indicators and graphical methods were used to evaluate the developed models. Several input predictors were used, and XGBoost highlighted inflation as the most crucial parameter. The results indicated that the best prediction was attained by XGBoost-RF using six input parameters, with r-squared and the mean absolute percentage error equal to 0.87 and 0.25, respectively. The comparison results revealed that all AI models showed good prediction performance when applied to datasets affected by more than two parameters. The outcomes of this research revealed an optimistic strategy that can help decision makers select the influencing parameters in the early phases of project management. Also, developing a prediction model with high precision results can assist the project's estimators in decreasing the errors in the cost estimation process.  © 2022 Zainab Hasan Ali et al."
496,Ghaleb H.; Alhajlah H.H.; Bin Abdullah A.A.; Kassem M.A.; Al-Sharafi M.A.,"Ghaleb, Hassan (57652845200); Alhajlah, Hamed Hamdan (57638949200); Bin Abdullah, Abdul Aziz (57215053004); Kassem, Mukhtar A. (57207830182); Al-Sharafi, Mohammed A. (57196477711)",57652845200; 57638949200; 57215053004; 57207830182; 57196477711,A Scientometric Analysis and Systematic Literature Review for Construction Project Complexity,2022,Buildings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129045592&doi=10.3390%2fbuildings12040482&partnerID=40&md5=c508798ace029c5187e9f439341baed7,"The construction industry has been experiencing a rapid increase in complex projects for the last two decades. Simultaneously, project complexity has received more attention from academics and practitioners worldwide. Many studies suggest that perceiving complexity is critical for successful construction project management. This study investigates the current status and future trends in construction project complexity (CPC) literature from the Scopus database. This review systematically uses bibliometric and scientometric methods through co-occurrence and co-citation analysis. First, 644 academic documents were retrieved from the Scopus database. Then, co-occurrence and co-citation analysis were performed along with network visualization to examine research interconnections’ patterns. As a result, relevant keywords, productive authors, and important journals have been highlighted. The prominent research topics within the literature on construction project complexity focus on the following topics: identifying and measuring project complexity, schedule performance and cost estimation, system integration and dynamic capabilities, and risk assessment and uncertainty. Finally, the potential research directions are developing towards safety performance, organizational resilience, and integrated project delivery (IPD). The study still has a limitation. The review focuses only on the academic documents retrieved from the Scopus database, thus restricting the coverage of the reviewed literature relating to construction project complexity. To the best of the author’s knowledge, this study is the first study that provides a systematic review of the literature from the Scopus database on construction project complexity. © 2022 by the authors. Licensee MDPI, Basel, Switzerland."
497,Lee J.G.; Lee H.-S.; Park M.; Seo J.,"Lee, Jin Gang (57190004799); Lee, Hyun-Soo (57192677095); Park, Moonseo (8834440500); Seo, JoonOh (55924450700)",57190004799; 57192677095; 8834440500; 55924450700,Early-stage cost estimation model for power generation project with limited historical data,2022,"Engineering, Construction and Architectural Management",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108951320&doi=10.1108%2fECAM-04-2020-0261&partnerID=40&md5=5335d30434a8eba043d7b1f45b565bb5,"Purpose: Reliable conceptual cost estimation of large-scale construction projects is critical for successful project planning and execution. For addressing the limited data availability in conceptual cost estimation, this study proposes an enhanced ANN-based cost estimating model that incorporates artificial neural networks, ensemble modeling and a factor analysis approach. Design/methodology/approach: In the ANN-based conceptual cost estimating model, the ensemble modeling component enhances training, and thus, improves its predictive accuracy and stability when project data quantity is low; and the factor analysis component finds the optimal input for an estimating model, rendering explanations of project data more descriptive. Findings: On the basis of the results of experiments, it can be concluded that ensemble modeling and FAMD (Factor Analysis of Mixed Data) are both conjointly capable of improving the accuracy of conceptual cost estimates. The ANN model version combining bootstrap aggregation and FAMD improved estimation accuracy and reliability despite these very low project sample sizes. Research limitations/implications: The generalizability of the findings is hard to justify since it is difficult to collect cost data of construction projects comprehensively. But this difficulty means that our proposed approaches and findings can provide more accurate and stable conceptual cost forecasting in the early stages of project development. Originality/value: From the perspective of this research, previous uses of past-project data can be deemed to have underutilized that information, and this study has highlighted that — even when limited in quantity — past-project data can and should be utilized effectively in the generation of conceptual cost estimates. © 2021, Emerald Publishing Limited."
498,Azhar A.; Kristiyono T.A.,"Azhar, A. (57226553059); Kristiyono, T.A. (57226551076)",57226553059; 57226551076,Method for Estimating Cost of New Ship Building with Linear Regression,2022,IOP Conference Series: Earth and Environmental Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124839774&doi=10.1088%2f1755-1315%2f972%2f1%2f012014&partnerID=40&md5=c4b8eddf64cb5588dfea9547cd8b7c1a,"The request of a fleet of marine transportation can be fulfilled by constructing new vessels and purchasing secondhand vessels. The current constraints in building new vessels are cost relatively expensive and take a long time, while the advantages for the procurement of vessels of secondhand time relatif faster and the price is cheaper. New shipbuilding includes complex work with the multy year's payment system, so it is important to develop the cost budget needed to build a new ship. The price should be adjusted concerning material needs and services with the standard market price during the completion time of the work and expected the calculation of the construction of a ship can be updated periodically. The research aims to identify, analyse and construct the cost estimation of the construction of the ferry types: 300 GT, 500 GT, 600 GT, 750 GT and its components. The stages that will be carried out in this study are to identify primary and secondary data relating to the construction costs of ferries and their components with field surveys, market surveys, and relevant library studies. Data is processed by linear regression methods to construct an estimate of the cost of building ferries and their components. Results obtained in the form of graphs and equivalencies of the cost of building ferries and material cost components, labour costs, and shipyard and third party costs.  © Published under licence by IOP Publishing Ltd."
